account_num,base,tenure, sessions ,duration,mega_bytes,case_count,comp_flag,train_flag,pcs_flag,holiday_flag,churn
5969476,ARBLSS,124," 28,393.00 ",17696717.04,106180417.4,4,0,0,0,1,0
9411583,ARHOUS,30," 4,762.00 ",8244759.978,24523877.9,2,0,1,0,1,1
9211257,ARBLSS,34," 11,110.00 ",6718076.095,25576703.44,2,0,0,0,0,1
8015662,ARBLSS,31," 11,975.00 ",7937466.601,22726633.82,1,0,0,0,0,1
2341073,MC29PM,31," 3,624.00 ",3106979.59,19982456.95,0,0,0,0,0,1
1443322,ARBENN,31," 7,062.00 ",7056203.376,18526089.74,0,0,1,1,0,1
3062868,AFACDY,31," 11,615.00 ",9558813.844,13797738.86,0,0,1,0,0,1
9905720,ARBLSS,31," 3,358.00 ",2268569.67,13510479.06,0,0,0,1,0,1
4045612,ARBLSS,261," 14,561.00 ",13059054.5,112979517.8,2,0,0,1,0,0
6381476,AFSHEP,143," 28,680.00 ",29589237.63,61734347.16,0,0,1,0,0,0
8726684,ARRILE,116," 13,878.00 ",27792234.33,46106958.45,4,0,0,0,0,0
2185930,ARBLSS,31," 4,810.00 ",2605106.897,12227113.92,0,0,0,0,1,1
2134394,ARBLSS,31," 5,756.00 ",4095629.58,11820675.04,0,0,0,0,0,1
2571916,ARBLSS,30," 5,717.00 ",3491093.653,10910266.35,0,0,0,1,0,1
4097521,ARBLSS,62," 17,401.00 ",11327112.71,21613008.13,1,0,0,0,0,1
8791787,ARBLSS,31," 1,529.00 ",1463396.964,9642731.008,0,0,0,1,0,1
1861965,ARBLSS,212," 14,896.00 ",11679102.85,64622977.49,3,0,0,1,0,0
9179624,AFACDY,91," 25,323.00 ",13627572.04,27725351.67,2,0,1,0,1,0
4690078,ARBLSS,120," 11,935.00 ",8596396.757,35861136.28,0,0,0,0,0,0
6199039,ARLEWS,92," 5,163.00 ",4595026.558,27273117.73,0,0,0,1,0,0
4398610,ARHUAC,30," 8,642.00 ",5969031.117,8882644.617,0,0,0,1,0,1
4499515,ARLEOW,77," 2,486.00 ",2377954.302,22603068,3,0,1,1,0,1
7238580,ARBLSS,124," 29,907.00 ",17012668.12,35743267.22,1,0,0,0,1,0
7746810,AFKEES,122," 10,292.00 ",8708429.048,35037719.39,1,0,1,0,1,0
1952840,ARBLSS,31," 5,324.00 ",2781419.724,8841340.443,0,0,0,0,0,1
9932609,TOKYO,31, 610.00 ,423064.9174,8643127.387,0,0,0,0,0,1
2662986,ARLEEE,38," 8,481.00 ",7020533.009,10230106.12,0,0,1,0,0,1
5213993,ARBLSS,273," 33,442.00 ",26477686.56,73291659.12,3,0,0,0,0,0
7541584,AFSHEP,30, 946.00 ,1042896.033,7925745.362,0,0,1,1,0,1
